spawnx,spawny,spawn_yaw,layer_number,spawn_frame
-131.285980,-9.375,-180,0,1
-147.285980,-9.375,-180,0,1
-163.285980,-9.375,-180,0,1
-177.285980,-9.375,-180,0,1
-140.285980,-6.875,-180,2,1
-140.285980,-8.125,-180,1,1
-152.285980,-6.875,-180,2,1
-152.285980,-8.125,-180,1,1
-168.285980,-6.875,-180,2,1
-168.285980,-8.125,-180,1,1
-131.285980,-5.625,-180,3,1
-147.285980,-5.625,-180,3,1
-163.285980,-5.625,-180,3,1
-177.285980,-5.625,-180,3,1
-131.285980,-4.375,-180,4,1
-147.285980,-4.375,-180,4,1
-163.285980,-4.375,-180,4,1
-177.285980,-4.375,-180,4,1
-131.285980,4.375,0,11,1
-147.285980,4.375,0,11,1
-163.285980,4.375,0,11,1
-177.285980,4.375,0,11,1
-131.285980,5.625,0,12,1
-147.285980,5.625,0,12,1
-163.285980,5.625,0,12,1
-177.285980,5.625,0,12,1
-140.285980,6.875,0,13,1
-140.285980,8.125,0,14,1
-152.285980,6.875,0,13,1
-152.285980,8.125,0,14,1
-168.285980,6.875,0,13,1
-168.285980,8.125,0,14,1
-131.285980,9.375,0,15,1
-147.285980,9.375,0,15,1
-163.285980,9.375,0,15,1
-177.285980,9.375,0,15,1
