spawnx,spawny,spawn_yaw,layer_number,spawn_frame
-20.884525,144.006790,0,0,1
-15.884605,144.034744,0,0,1
-5.884766,144.090683,0,0,1
4.115076,144.146606,0,0,1
14.114914,144.202545,0,0,1
24.114758,144.258469,0,0,1
34.114597,144.314407,0,0,1
44.114433,144.370331,0,0,1
54.114273,144.426254,0,0,1
-15.877617,142.784744,0,1,1
-5.877777,142.840683,0,1,1
4.122065,142.896606,0,1,1
24.121746,143.008469,0,1,1
34.121586,143.064407,0,1,1
44.121422,143.120331,0,1,1
-10.870704,141.562744,0,2,1
4.129057,141.646637,0,2,1
19.128819,141.730530,0,2,1
34.128578,141.814438,0,2,1
49.128338,141.898331,0,2,1
-13.863667,140.295975,0,3,1
-1.863859,140.363083,0,3,1
10.135948,140.430206,0,3,1
22.135757,140.497314,0,3,1
34.135567,140.564438,0,3,1
46.135372,140.631546,0,3,1
40.974255,128.102463,-180,13,1
25.974493,128.018570,-180,13,1
10.974731,127.934669,-180,13,1
-4.025028,127.850777,-180,13,1
-19.024788,127.766884,-180,13,1
45.981163,126.880440,-180,14,1
35.981323,126.824509,-180,14,1
25.981482,126.768578,-180,14,1
15.981644,126.712654,-180,14,1
5.981800,126.656723,-180,14,1
-4.018040,126.600792,-180,14,1
-14.017876,126.544861,-180,14,1
-24.017715,126.488930,-180,14,1
